,county,oxamyl
475,"Comal, Texas",0.0
476,"Comanche, Oklahoma",0.0
477,"Comanche, Texas",0.0
478,"Concho, Texas",0.0
479,"Concordia, Louisiana",0.0
480,"Conecuh, Alabama",0.0
481,"Contra costa, California",0.0
482,"Converse, Wyoming",0.0
483,"Conway, Arkansas",0.0
484,"Cook, Illinois",0.0
485,"Cook, Minnesota",0.0
486,"Cooke, Texas",0.0
487,"Cooper, Missouri",0.0
488,"Coos, New Hampshire",0.0
489,"Coos, Oregon",0.0
490,"Coosa, Alabama",0.0
491,"Cortland, New York",0.0
492,"Coryell, Texas",0.0
493,"Coshocton, Ohio",0.0
494,"Cottle, Texas",0.0
495,"Cottonwood, Minnesota",0.0
496,"Covington, Alabama",0.0
497,"Covington, Virginia",0.0
498,"Cowlitz, Washington",0.0
499,"Craighead, Arkansas",0.0
500,"Crane, Texas",0.0
501,"Craven, North Carolina",0.0
502,"Crawford county, Pennsylvania",0.0
503,"Crawford, Arkansas",0.0
504,"Crawford, Illinois",0.0
505,"Crawford, Indiana",0.0
506,"Crawford, Michigan",0.0
507,"Crawford, Missouri",0.0
508,"Crawford, Pennsylvania",0.0
509,"Crawford, Wisconsin",0.0
510,"Creek, Oklahoma",0.0
511,"Crenshaw, Alabama",0.0276
512,"Crittenden, Arkansas",0.0
513,"Crittenden, Kentucky",0.0
514,"Crockett, Texas",0.0
515,"Crook, Oregon",0.0
516,"Crook, Wyoming",0.0
517,"Crosby, Texas",0.0
518,"Cross, Arkansas",0.0
519,"Crow wing, Minnesota",0.0
520,"Culberson, Texas",0.0
521,"Cullman, Alabama",0.0
522,"Culpeper, Virginia",0.0
523,"Cumberland county, Pennsylvania",0.0
524,"Cumberland, Illinois",0.0
525,"Cumberland, Kentucky",0.0
526,"Cumberland, Maine",0.0
527,"Cumberland, New Jersey",0.0
528,"Cumberland, North Carolina",0.0
529,"Cumberland, Pennsylvania",0.0
530,"Cumberland, Virginia",0.0
531,"Cuming, Nebraska",0.0
532,"Currituck, North Carolina",0.0
533,"Curry, New Mexico",0.0
534,"Curry, Oregon",0.0
535,"Custer, Idaho",0.0
536,"Custer, Montana",0.0
537,"Custer, Nebraska",0.0
538,"Custer, Oklahoma",0.0
539,"Custer, South Dakota",0.0
540,"Cuyahoga, Ohio",0.0
541,"Dade, Florida",0.0
542,"Dade, Missouri",0.0
543,"Daggett, Utah",0.0
544,"Dakota, Minnesota",0.0
545,"Dakota, Nebraska",0.0
546,"Dale, Alabama",0.0
547,"Dallam, Texas",0.0
548,"Dallas, Alabama",0.0
549,"Dallas, Arkansas",0.0
550,"Dallas, Missouri",0.0
551,"Dallas, Texas",0.0
552,"Dane, Wisconsin",0.0
553,"Daniels, Montana",0.0
554,"Danville, Virginia",0.0
555,"Dare, North Carolina",0.0
556,"Darlington, South Carolina",0.0
557,"Dauphin county, Pennsylvania",0.0
558,"Dauphin, Pennsylvania",0.0
559,"Davidson, North Carolina",0.0
560,"Davie, North Carolina",0.0
561,"Daviess, Indiana",0.0
562,"Daviess, Kentucky",0.0
563,"Daviess, Missouri",0.0
564,"Davis, Utah",0.0
565,"Dawes, Nebraska",0.0
566,"Dawson, Montana",0.0
567,"Dawson, Nebraska",0.0
568,"Dawson, Texas",0.0
569,"Day, South Dakota",0.0
570,"De baca, New Mexico",0.0
571,"De kalb, Indiana",0.0
572,"De kalb, Missouri",0.0
573,"De soto, Florida",0.0
574,"De soto, Louisiana",0.0
575,"De witt, Illinois",0.0
576,"Deaf smith, Texas",0.0
577,"Dearborn, Indiana",0.0
578,"Decatur, Indiana",0.0
579,"Deer lodge, Montana",0.0
580,"Defiance, Ohio",0.0
581,"Dekalb, Alabama",0.0
582,"Dekalb, Illinois",0.0
583,"Dekalb, Indiana",0.0
584,"Dekalb, Missouri",0.0
585,"Delaware, Indiana",0.0
586,"Delaware, New York",0.0
587,"Delaware, Ohio",0.0
588,"Delaware, Pennsylvania",0.0
589,"Delta, Michigan",0.0
590,"Delta, Texas",0.0
591,"Dent, Missouri",0.0
592,"Denton, Texas",0.0
593,"Deschutes, Oregon",0.0
594,"Desha, Arkansas",0.0
595,"Desoto, Florida",0.0
596,"Deuel, Nebraska",0.0
597,"Dewey, Oklahoma",0.0
598,"Dewey, South Dakota",0.0
599,"Dewitt, Texas",0.0
600,"Dickey, North Dakota",0.0
601,"Dickinson, Michigan",0.0
602,"Dickson, Tennessee",0.0
603,"Dillon, South Carolina",0.0
604,"Dimmit, Texas",0.0
605,"Dinwiddie, Virginia",0.0
606,"District of columbia, District of Columbia",0.0
607,"Dixie, Florida",0.0
608,"Dixon, Nebraska",0.0
609,"Doddridge, West Virginia",0.0
610,"Dodge, Minnesota",0.0
611,"Dodge, Nebraska",0.0
612,"Dodge, Wisconsin",0.0
613,"Dona ana, New Mexico",0.16397228637413394
614,"Donley, Texas",0.0
615,"Door, Wisconsin",0.0
616,"Dorchester, Maryland",0.0
617,"Dorchester, South Carolina",0.0
618,"Douglas, Illinois",0.0
619,"Douglas, Minnesota",0.0
620,"Douglas, Missouri",0.0
621,"Douglas, Nebraska",0.0
622,"Douglas, Nevada",0.0
623,"Douglas, Oregon",0.0
624,"Douglas, Washington",0.0
625,"Douglas, Wisconsin",0.0
626,"Drew, Arkansas",0.0
627,"Du page, Illinois",0.0
628,"Dubois, Indiana",0.0
629,"Duchesne, Utah",0.0
630,"Dukes, Massachusetts",0.0
631,"Dundy, Nebraska",0.0
632,"Dunklin, Missouri",0.0
633,"Dunn, Wisconsin",0.0
634,"Dupage, Illinois",0.0
635,"Duplin, North Carolina",0.0
636,"Durham, North Carolina",0.0
637,"Dutchess, New York",0.0
638,"Duval county, Florida",0.0
639,"Duval, Florida",0.002231759656652361
640,"Duval, Texas",0.0
641,"East baton rouge parish, Louisiana",0.0
642,"East baton rouge, Louisiana",0.0
643,"East carroll, Louisiana",0.0
644,"East feliciana, Louisiana",0.0
645,"Eastland, Texas",0.0
646,"Eaton, Michigan",0.0
647,"Eau claire, Wisconsin",0.0
648,"Ector, Texas",0.0
649,"Eddy, New Mexico",0.0
650,"Edgar, Illinois",0.0
651,"Edgecombe, North Carolina",0.0
652,"Edmonson, Kentucky",0.0
653,"Edwards, Illinois",0.0
654,"Effingham, Illinois",0.0
655,"El dorado, California",0.0
656,"El paso, Texas",0.0
657,"Elk, Pennsylvania",0.0
658,"Elkhart, Indiana",0.0
659,"Elko, Nevada",0.0
660,"Elliott, Kentucky",0.0
661,"Ellis, Oklahoma",0.0
662,"Ellis, Texas",0.0
663,"Elmore, Alabama",0.0
664,"Elmore, Idaho",0.0
665,"Emery, Utah",0.0
666,"Emmet, Michigan",0.0
667,"Erath, Texas",0.0
668,"Erie county, Pennsylvania",0.0
669,"Erie, New York",0.0
670,"Erie, Ohio",0.0
671,"Erie, Pennsylvania",0.0
672,"Escambia, Alabama",0.0
673,"Escambia, Florida",0.2534013605442177
674,"Esmeralda, Nevada",0.0
675,"Essex county, New York",0.0
676,"Essex, Massachusetts",0.0
677,"Essex, New Jersey",0.0
678,"Essex, New York",0.0
679,"Essex, Vermont",0.0
680,"Estill, Kentucky",0.0
681,"Etowah, Alabama",0.0
682,"Eureka county, Nevada",0.0
683,"Eureka, Nevada",0.0
684,"Evangeline parish, Louisiana",0.0
685,"Evangeline, Louisiana",0.0
686,"Fairbanks north star, Alaska",0.0
687,"Fairfax, Virginia",0.0
688,"Fairfield, Connecticut",0.0
689,"Fairfield, Ohio",0.0
690,"Fairfield, South Carolina",0.0
691,"Fall river, South Dakota",0.0
692,"Fallon, Montana",0.0
693,"Falls, Texas",0.0
694,"Fannin, Texas",0.0
695,"Faulk, South Dakota",0.0
696,"Fauquier, Virginia",0.0
697,"Fayette, Alabama",0.0
698,"Fayette, Illinois",0.0
699,"Fayette, Indiana",0.0
700,"Fayette, Kentucky",0.0
701,"Fayette, Pennsylvania",0.0
702,"Fayette, Texas",0.0
703,"Fayette, West Virginia",0.0
704,"Fergus, Montana",0.0
705,"Ferry, Washington",0.0
706,"Fillmore, Minnesota",0.0
707,"Fillmore, Nebraska",0.0
708,"Fisher, Texas",0.0
709,"Flagler, Florida",0.0
710,"Flathead, Montana",0.0
711,"Fleming, Kentucky",0.0
712,"Florence, South Carolina",0.0
713,"Florence, Wisconsin",0.0
714,"Floyd, Indiana",0.0
715,"Floyd, Kentucky",0.0
716,"Floyd, Texas",0.0
717,"Fluvanna, Virginia",0.0
718,"Fond du lac, Wisconsin",0.0
719,"Ford, Illinois",0.0
720,"Forest, Pennsylvania",0.0
721,"Forest, Wisconsin",0.0
722,"Forsyth, North Carolina",0.0
723,"Fort bend, Texas",0.0
724,"Fountain, Indiana",0.0
725,"Franklin county, Missouri",0.0
726,"Franklin county, New York",0.0
727,"Franklin county, Pennsylvania",0.0
728,"Franklin, Alabama",0.0
729,"Franklin, Arkansas",0.0
730,"Franklin, Florida",0.0
731,"Franklin, Idaho",0.0
732,"Franklin, Illinois",0.0
733,"Franklin, Indiana",0.0
734,"Franklin, Kentucky",0.0
735,"Franklin, Louisiana",0.0
736,"Franklin, Maine",0.0
737,"Franklin, Massachusetts",0.0
738,"Franklin, Missouri",0.0
739,"Franklin, Nebraska",0.0
740,"Franklin, New York",0.0
741,"Franklin, North Carolina",0.0
742,"Franklin, Ohio",0.0
743,"Franklin, Pennsylvania",0.0
744,"Franklin, Texas",0.0
745,"Franklin, Vermont",0.0
746,"Franklin, Virginia",0.0
747,"Franklin, Washington",0.0
748,"Frederick, Maryland",0.0
749,"Frederick, Virginia",0.0
750,"Freeborn, Minnesota",0.0
751,"Freestone, Texas",0.0
752,"Fremont, Idaho",0.0
753,"Fremont, Wyoming",0.0
754,"Fresno, California",0.0
755,"Frio, Texas",0.0
756,"Frontier, Nebraska",0.0
757,"Fulton, Arkansas",0.0
758,"Fulton, Illinois",0.0
759,"Fulton, Indiana",0.0
760,"Fulton, Kentucky",0.0
761,"Fulton, New York",0.0
762,"Fulton, Ohio",0.0
763,"Fulton, Pennsylvania",0.0
764,"Furnas, Nebraska",0.0
765,"Gadsden, Florida",0.0
766,"Gage, Nebraska",0.0
767,"Gaines, Texas",0.0
768,"Galax, Virginia",0.0
769,"Gallatin, Illinois",0.0
770,"Gallatin, Kentucky",0.0
771,"Gallatin, Montana",0.0
772,"Galveston, Texas",0.0
773,"Garden, Nebraska",0.0
774,"Garfield, Montana",0.0
775,"Garfield, Nebraska",0.0
776,"Garfield, Oklahoma",0.0
777,"Garfield, Utah",0.0
778,"Garland, Arkansas",0.0
779,"Garrard, Kentucky",0.0
780,"Garrett, Maryland",0.0
781,"Garvin, Oklahoma",0.0
782,"Garza, Texas",0.0
783,"Gasconade, Missouri",0.0
784,"Gaston, North Carolina",0.0
785,"Gates, North Carolina",0.0
786,"Geauga, Ohio",0.0
787,"Gem, Idaho",0.0
788,"Genesee, Michigan",0.0
789,"Genesee, New York",0.0
790,"Geneva, Alabama",0.0
791,"Gentry, Missouri",0.0
792,"Georgetown, South Carolina",0.0
793,"Gibson, Indiana",0.0
794,"Gila, Arizona",0.0
795,"Gilchrist, Florida",0.0
796,"Giles, Tennessee",0.0
797,"Giles, Virginia",0.0
798,"Gillespie, Texas",0.0
799,"Gilliam, Oregon",0.0
800,"Gilmer, West Virginia",0.0
801,"Glacier, Montana",0.0
