,county,"2,4-D"
466,"Clearwater, Idaho",0.0
467,"Clearwater, Minnesota",0.0
468,"Cleburne, Alabama",0.0
469,"Cleburne, Arkansas",0.0
470,"Clermont, Ohio",0.0
471,"Cleveland, Arkansas",0.0
472,"Cleveland, North Carolina",0.0
473,"Cleveland, Oklahoma",0.0
474,"Clinton, Illinois",0.0
475,"Clinton, Indiana",0.0
476,"Clinton, Iowa",0.0
477,"Clinton, Kentucky",0.0
478,"Clinton, Michigan",0.0
479,"Clinton, Missouri",0.0
480,"Clinton, New York",0.0
481,"Clinton, Pennsylvania",0.0
482,"Cochise, Arizona",0.0
483,"Cochran, Texas",0.0
484,"Coconino, Arizona",0.0
485,"Codington, South Dakota",0.0
486,"Coffee, Alabama",0.0
487,"Coke, Texas",0.0
488,"Colbert, Alabama",0.0
489,"Cole, Missouri",0.006153846153846154
490,"Coleman, Texas",0.0
491,"Coles, Illinois",0.0
492,"Colfax, Nebraska",0.0
493,"Colfax, New Mexico",0.0
494,"Colleton, South Carolina",0.0
495,"Collier, Florida",0.0
496,"Collin, Texas",0.0
497,"Collingsworth, Texas",0.0
498,"Colorado, Texas",0.0
499,"Columbia, Arkansas",0.0
500,"Columbia, Florida",0.0
501,"Columbia, New York",0.0
502,"Columbia, Oregon",0.0
503,"Columbia, Pennsylvania",0.0
504,"Columbia, Washington",0.0
505,"Columbia, Wisconsin",0.0
506,"Columbiana, Ohio",0.0
507,"Columbus county, North Carolina",0.0
508,"Columbus, North Carolina",0.0
509,"Colusa, California",0.0
510,"Comal, Texas",0.0
511,"Comanche, Oklahoma",0.0
512,"Comanche, Texas",0.0
513,"Concho, Texas",0.0
514,"Concordia, Louisiana",0.0
515,"Conecuh, Alabama",0.0
516,"Contra costa, California",0.0009900990099009901
517,"Converse, Wyoming",0.0
518,"Conway, Arkansas",0.0
519,"Cook, Illinois",0.0
520,"Cook, Minnesota",0.0
521,"Cooke, Texas",0.0
522,"Cooper, Missouri",0.0
523,"Coos, New Hampshire",0.0
524,"Coos, Oregon",0.0
525,"Coosa, Alabama",0.0
526,"Corson, South Dakota",0.0
527,"Cortland, New York",0.0
528,"Coryell, Texas",0.0
529,"Coshocton, Ohio",0.0
530,"Cottle, Texas",0.0
531,"Cotton, Oklahoma",0.0
532,"Cottonwood, Minnesota",0.0
533,"Covington, Alabama",0.0
534,"Covington, Virginia",0.0
535,"Cowlitz, Washington",0.0
536,"Craig, Oklahoma",0.0
537,"Craighead, Arkansas",0.0
538,"Crane, Texas",0.0
539,"Craven, North Carolina",0.0
540,"Crawford county, Pennsylvania",0.0
541,"Crawford, Arkansas",0.0
542,"Crawford, Illinois",0.0
543,"Crawford, Indiana",0.0
544,"Crawford, Iowa",0.0
545,"Crawford, Michigan",0.0
546,"Crawford, Missouri",0.0
547,"Crawford, Pennsylvania",0.0
548,"Crawford, Wisconsin",0.0
549,"Creek, Oklahoma",0.0
550,"Crenshaw, Alabama",0.0
551,"Crittenden, Arkansas",0.0
552,"Crittenden, Kentucky",0.0
553,"Crockett, Texas",0.0
554,"Crook, Oregon",0.0
555,"Crook, Wyoming",0.0
556,"Crosby, Texas",0.0
557,"Cross, Arkansas",0.0
558,"Crow wing, Minnesota",0.0
559,"Culberson, Texas",0.0
560,"Cullman, Alabama",0.0
561,"Culpeper, Virginia",0.0
562,"Cumberland county, Pennsylvania",0.0
563,"Cumberland, Illinois",0.0
564,"Cumberland, Kentucky",0.0
565,"Cumberland, Maine",0.0
566,"Cumberland, New Jersey",0.0
567,"Cumberland, North Carolina",0.0
568,"Cumberland, Pennsylvania",0.002654867256637168
569,"Cumberland, Virginia",0.0
570,"Cuming, Nebraska",0.0
571,"Currituck, North Carolina",0.0
572,"Curry, New Mexico",0.022711538461538464
573,"Curry, Oregon",0.0
574,"Custer, Idaho",0.0
575,"Custer, Montana",0.0
576,"Custer, Nebraska",0.0
577,"Custer, Oklahoma",0.0
578,"Custer, South Dakota",0.0
579,"Cuyahoga, Ohio",0.0
580,"Dade, Florida",0.0
581,"Dade, Missouri",0.0
582,"Daggett, Utah",0.0
583,"Dakota, Minnesota",0.0
584,"Dakota, Nebraska",0.0
585,"Dale, Alabama",0.0
586,"Dallam, Texas",0.0
587,"Dallas, Alabama",0.0
588,"Dallas, Arkansas",0.0
589,"Dallas, Iowa",0.0
590,"Dallas, Missouri",0.0
591,"Dallas, Texas",0.0
592,"Dane, Wisconsin",0.0
593,"Daniels, Montana",0.0
594,"Danville, Virginia",0.0
595,"Dare, North Carolina",0.0
596,"Darlington, South Carolina",0.0
597,"Dauphin county, Pennsylvania",0.0
598,"Dauphin, Pennsylvania",0.0
599,"Davidson, North Carolina",0.0115
600,"Davidson, Tennessee",0.0
601,"Davie, North Carolina",0.0
602,"Daviess, Indiana",0.0
603,"Daviess, Kentucky",0.0
604,"Daviess, Missouri",0.0
605,"Davis, Iowa",0.0
606,"Davis, Utah",0.0
607,"Dawes, Nebraska",0.0
608,"Dawson, Montana",0.0
609,"Dawson, Nebraska",0.0
610,"Dawson, Texas",0.0
611,"Day, South Dakota",0.0
612,"De baca, New Mexico",0.0
613,"De kalb, Indiana",0.0
614,"De kalb, Missouri",0.0
615,"De soto, Florida",0.0
616,"De soto, Louisiana",0.0
617,"De witt, Illinois",0.0
618,"Deaf smith, Texas",0.0
619,"Dearborn, Indiana",0.0
620,"Decatur, Indiana",0.0
621,"Decatur, Iowa",0.0
622,"Deer lodge, Montana",0.0
623,"Defiance, Ohio",0.0
624,"Dekalb, Alabama",0.0
625,"Dekalb, Illinois",0.0
626,"Dekalb, Indiana",0.0
627,"Dekalb, Missouri",0.0
628,"Delaware, Indiana",0.023076923076923075
629,"Delaware, Iowa",0.0
630,"Delaware, New York",0.0
631,"Delaware, Ohio",0.0
632,"Delaware, Pennsylvania",0.0
633,"Delta, Michigan",0.0
634,"Delta, Texas",0.0
635,"Dent, Missouri",0.0
636,"Denton, Texas",0.0
637,"Des moines, Iowa",0.0
638,"Deschutes, Oregon",0.0
639,"Desha, Arkansas",0.0
640,"Desoto, Florida",0.0
641,"Deuel, Nebraska",0.0
642,"Dewey, Oklahoma",0.0
643,"Dewey, South Dakota",0.0
644,"Dewitt, Texas",0.0
645,"Dickey, North Dakota",0.0
646,"Dickinson, Iowa",0.0
647,"Dickinson, Michigan",0.0
648,"Dillon, South Carolina",0.0
649,"Dimmit, Texas",0.0
650,"Dinwiddie, Virginia",0.0
651,"District of columbia, District of Columbia",0.0
652,"Dixie, Florida",0.0
653,"Dixon, Nebraska",0.0
654,"Doddridge, West Virginia",0.0
655,"Dodge, Minnesota",0.0
656,"Dodge, Nebraska",0.0
657,"Dodge, Wisconsin",0.0
658,"Dona ana, New Mexico",0.10328000000000001
659,"Donley, Texas",0.0
660,"Door, Wisconsin",0.0
661,"Dorchester, Maryland",0.0
662,"Dorchester, South Carolina",0.0
663,"Douglas, Illinois",0.0
664,"Douglas, Minnesota",0.0
665,"Douglas, Missouri",0.0
666,"Douglas, Nebraska",0.0
667,"Douglas, Nevada",0.0
668,"Douglas, Oregon",0.0
669,"Douglas, Washington",0.0
670,"Douglas, Wisconsin",0.0
671,"Drew, Arkansas",0.0
672,"Du page, Illinois",0.0
673,"Dubois, Indiana",0.0
674,"Dubuque, Iowa",0.039857142857142855
675,"Duchesne, Utah",0.0
676,"Dukes, Massachusetts",0.0
677,"Dundy, Nebraska",0.0
678,"Dunklin, Missouri",0.0
679,"Dunn, North Dakota",0.0
680,"Dunn, Wisconsin",0.0
681,"Dupage, Illinois",0.0
682,"Duplin, North Carolina",0.0
683,"Durham, North Carolina",0.0033057851239669425
684,"Dutchess, New York",0.0
685,"Duval county, Florida",0.0
686,"Duval, Florida",0.0
687,"Duval, Texas",0.0
688,"East baton rouge parish, Louisiana",0.0
689,"East baton rouge, Louisiana",0.0
690,"East carroll, Louisiana",0.0
691,"East feliciana, Louisiana",0.0
692,"Eastland, Texas",0.0
693,"Eaton, Michigan",0.0
694,"Eau claire, Wisconsin",0.0
695,"Ector, Texas",0.0
696,"Eddy, New Mexico",0.0
697,"Eddy, North Dakota",0.0
698,"Edgar, Illinois",0.0
699,"Edgecombe, North Carolina",0.0
700,"Edmonson, Kentucky",0.0
701,"Edwards, Illinois",0.0
702,"Effingham, Illinois",0.0
703,"El dorado, California",0.0
704,"El paso, Texas",0.0
705,"Elk, Pennsylvania",0.0
706,"Elkhart, Indiana",0.0
707,"Elko, Nevada",0.0
708,"Elliott, Kentucky",0.0
709,"Ellis, Oklahoma",0.0
710,"Ellis, Texas",0.008108108108108109
711,"Elmore, Alabama",0.0
712,"Elmore, Idaho",0.0
713,"Emery, Utah",0.0
714,"Emmet, Iowa",0.0
715,"Emmet, Michigan",0.0
716,"Emmons, North Dakota",0.0
717,"Erath, Texas",0.0
718,"Erie county, Pennsylvania",0.0
719,"Erie, New York",0.0014754098360655738
720,"Erie, Ohio",0.0
721,"Erie, Pennsylvania",0.0
722,"Escambia, Alabama",0.0
723,"Escambia, Florida",0.006601307189542484
724,"Esmeralda, Nevada",0.0
725,"Essex county, New York",0.0
726,"Essex, Massachusetts",0.0
727,"Essex, New Jersey",0.0
728,"Essex, New York",0.0
729,"Essex, Vermont",0.0
730,"Estill, Kentucky",0.0
731,"Etowah, Alabama",0.0
732,"Eureka county, Nevada",0.0
733,"Eureka, Nevada",0.0
734,"Evangeline parish, Louisiana",0.0
735,"Evangeline, Louisiana",0.0
736,"Fairbanks north star, Alaska",0.0
737,"Fairfax, Virginia",0.0
738,"Fairfield, Connecticut",0.0008242612752721618
739,"Fairfield, Ohio",0.0
740,"Fairfield, South Carolina",0.0
741,"Fall river, South Dakota",0.0
742,"Fallon, Montana",0.0
743,"Falls, Texas",0.007692307692307693
744,"Fannin, Texas",0.0
745,"Faulk, South Dakota",0.0
746,"Fauquier, Virginia",0.0
747,"Fayette, Alabama",0.0
748,"Fayette, Illinois",0.0
749,"Fayette, Indiana",0.0
750,"Fayette, Iowa",0.0
751,"Fayette, Kentucky",0.022222222222222223
752,"Fayette, Pennsylvania",0.0
753,"Fayette, Texas",0.0
754,"Fayette, West Virginia",0.0
755,"Fergus, Montana",0.0
756,"Ferry, Washington",0.0
757,"Fillmore, Minnesota",0.0
758,"Fillmore, Nebraska",0.0
759,"Fisher, Texas",0.0
760,"Flagler, Florida",0.0
761,"Flathead, Montana",0.0
762,"Fleming, Kentucky",0.0
763,"Florence, South Carolina",0.0
764,"Florence, Wisconsin",0.0
765,"Floyd, Indiana",0.0
766,"Floyd, Iowa",0.0
767,"Floyd, Kentucky",0.0
768,"Floyd, Texas",0.0
769,"Fluvanna, Virginia",0.0
770,"Fond du lac, Wisconsin",0.0
771,"Ford, Illinois",0.0
772,"Forest, Pennsylvania",0.0
773,"Forest, Wisconsin",0.0
774,"Forsyth, North Carolina",0.0
775,"Fort bend, Texas",0.0
776,"Foster, North Dakota",0.0
777,"Fountain, Indiana",0.0
778,"Franklin county, Missouri",0.0
779,"Franklin county, New York",0.0
780,"Franklin county, Pennsylvania",0.0
781,"Franklin, Alabama",0.0
782,"Franklin, Arkansas",0.0
783,"Franklin, Florida",0.0
784,"Franklin, Idaho",0.0
785,"Franklin, Illinois",0.0
786,"Franklin, Indiana",0.0
787,"Franklin, Iowa",0.0
788,"Franklin, Kentucky",0.0
