,county,fecal_coliform
479,"Jefferson, Kansas",0.0
480,"Jefferson, Louisiana",0.0
481,"Jefferson, Montana",0.0
482,"Jefferson, Pennsylvania",0.0
483,"Jefferson, Texas",0.0
484,"Jefferson, Washington",0.0
485,"Jefferson, Wisconsin",0.0
486,"Jersey, Illinois",0.0
487,"Jewell, Kansas",0.0
488,"Jim wells, Texas",0.0
489,"Jo daviess, Illinois",0.0
490,"Johnson, Illinois",0.0
491,"Johnson, Iowa",0.0
492,"Johnson, Kansas",0.0
493,"Johnson, Texas",0.0
494,"Johnson, Wyoming",0.0
495,"Johnston, North Carolina",0.0
496,"Jones, Iowa",0.0
497,"Jones, North Carolina",0.0
498,"Jones, Texas",0.0
499,"Josephine, Oregon",0.0
500,"Juab, Utah",0.0
501,"Judith basin, Montana",0.0
502,"Juneau, Wisconsin",0.0
503,"Juniata, Pennsylvania",0.0
504,"Kanawha, West Virginia",0.0
505,"Kane, Illinois",0.0
506,"Kane, Utah",0.0
507,"Kankakee, Illinois",0.0
508,"Kaufman, Texas",0.0
509,"Kenai peninsula, Alaska",0.0
510,"Kendall, Illinois",0.0
511,"Kendall, Texas",0.0
512,"Kenosha, Wisconsin",0.0
513,"Kent, Rhode Island",0.0
514,"Keokuk, Iowa",0.0
515,"Kerr, Texas",0.0
516,"Kershaw, South Carolina",0.0
517,"Ketchikan gateway, Alaska",0.0
518,"Kewaunee, Wisconsin",0.0
519,"Kimble, Texas",0.0
520,"King, Washington",0.0
521,"Kiowa, Kansas",0.0
522,"Kitsap, Washington",0.0
523,"Kittitas, Washington",0.0
524,"Kleberg, Texas",0.0
525,"Klickitat, Washington",0.0
526,"Knox, Illinois",0.0
527,"Knox, Maine",0.0
528,"Knox, Ohio",0.0
529,"Knox, Texas",0.0
530,"Kossuth, Iowa",0.0
531,"La crosse, Wisconsin",0.0
532,"La paz, Arizona",0.0
533,"La salle, Texas",0.0
534,"Labette, Kansas",0.0
535,"Lackawanna, Pennsylvania",0.0
536,"Lafayette, Wisconsin",0.0
537,"Lake, California",0.0
538,"Lake, Illinois",0.0
539,"Lake, Montana",0.0
540,"Lamar, Texas",0.0
541,"Lamb, Texas",0.0
542,"Lancaster county, Pennsylvania",0.0
543,"Lancaster, Pennsylvania",0.0
544,"Lancaster, South Carolina",0.0
545,"Lancaster, Virginia",0.0
546,"Lane, Oregon",0.0
547,"Langlade, Wisconsin",0.0
548,"Laramie, Wyoming",0.0
549,"Lasalle, Illinois",0.0
550,"Lauderdale, Alabama",0.0
551,"Laurens, South Carolina",0.0
552,"Lavaca, Texas",0.0
553,"Lawrence, Illinois",0.0
554,"Lawrence, Pennsylvania",0.0
555,"Leavenworth, Kansas",0.0
556,"Lebanon, Pennsylvania",0.0
557,"Lee, Illinois",0.0
558,"Lee, Iowa",0.0
559,"Lee, North Carolina",0.0
560,"Lee, Texas",0.0
561,"Lehigh, Pennsylvania",0.0
562,"Lenoir, North Carolina",0.0
563,"Leon, Texas",0.0
564,"Lewis and clark, Montana",0.0
565,"Lewis, Washington",0.0
566,"Lexington, South Carolina",0.0
567,"Liberty, Montana",0.0
568,"Liberty, Texas",0.0
569,"Licking, Ohio",0.0
570,"Limestone, Alabama",0.0
571,"Limestone, Texas",0.0
572,"Lincoln, Kansas",0.0
573,"Lincoln, Maine",0.0
574,"Lincoln, Montana",0.0
575,"Lincoln, North Carolina",0.0
576,"Lincoln, Washington",0.0
577,"Lincoln, Wisconsin",0.0
578,"Lincoln, Wyoming",0.0
579,"Linn, Iowa",0.0
580,"Linn, Kansas",0.0
581,"Linn, Oregon",0.0
582,"Litchfield, Connecticut",0.0
583,"Live oak, Texas",0.0
584,"Livingston, Illinois",0.0
585,"Livingston, Louisiana",0.0
586,"Logan, Illinois",0.0
587,"Loudoun, Virginia",0.0
588,"Louisa, Iowa",0.0
589,"Louisa, Virginia",0.0
590,"Lowndes, Alabama",0.0
591,"Lubbock, Texas",0.0
592,"Lucas, Iowa",0.0
593,"Lucas, Ohio",0.0
594,"Luzerne, Pennsylvania",0.0
595,"Lycoming, Pennsylvania",0.0
596,"Lynchburg, Virginia",0.0
597,"Lyon, Iowa",0.0
598,"Lyon, Kansas",0.0
599,"Macon, Illinois",0.0
600,"Macon, North Carolina",0.0
601,"Macoupin, Illinois",0.0
602,"Madera, California",0.0
603,"Madison, Alabama",0.0
604,"Madison, Illinois",0.0
605,"Madison, Iowa",0.0
606,"Madison, North Carolina",0.0
607,"Madison, Ohio",0.0
608,"Mahoning, Ohio",0.0
609,"Manitowoc, Wisconsin",0.0
610,"Marathon, Wisconsin",0.0
611,"Maricopa, Arizona",0.0
612,"Marinette, Wisconsin",0.0
613,"Marion, Illinois",0.0
614,"Marion, Kansas",0.0
615,"Marion, South Carolina",0.0
616,"Marion, Texas",0.0
617,"Marlboro, South Carolina",0.0
618,"Marquette, Wisconsin",0.0
619,"Marshall, Alabama",0.0
620,"Marshall, Illinois",0.0
621,"Marshall, Iowa",0.0
622,"Marshall, Kansas",0.0
623,"Martin, North Carolina",0.0
624,"Martin, Texas",0.0
625,"Mason, Washington",0.0
626,"Mason, West Virginia",0.0
627,"Massac, Illinois",0.0
628,"Matagorda, Texas",0.0
629,"Matanuska-susitna, Alaska",0.0
630,"Maverick, Texas",0.0
631,"Mccormick, South Carolina",0.0
632,"Mcculloch, Texas",0.0
633,"Mcdonough, Illinois",0.0
634,"Mcdowell, North Carolina",0.0
635,"Mchenry, Illinois",0.0
636,"Mckean county, Pennsylvania",0.0
637,"Mckean, Pennsylvania",0.0
638,"Mckenzie, North Dakota",0.0
639,"Mckinley, New Mexico",0.0
640,"Mclean, Illinois",0.0
641,"Mclennan, Texas",0.0
642,"Mcmullen, Texas",0.0
643,"Mcpherson, Kansas",0.0
644,"Meagher, Montana",0.0
645,"Mecklenburg, North Carolina",0.0
646,"Medina, Texas",0.0
647,"Mendocino, California",0.0
648,"Mercer, Illinois",0.0
649,"Mercer, New Jersey",0.0
650,"Mercer, Pennsylvania",0.0
651,"Miami, Kansas",0.0
652,"Middlesex, New Jersey",0.0
653,"Midland, Texas",0.0
654,"Mifflin, Pennsylvania",0.0
655,"Milam, Texas",0.0
656,"Millard, Utah",0.0
657,"Mills, Iowa",0.0
658,"Milwaukee, Wisconsin",0.0
659,"Mineral, West Virginia",0.0
660,"Mitchell, Iowa",0.0
661,"Mitchell, Kansas",0.0
662,"Mitchell, North Carolina",0.0
663,"Modoc, California",0.0
664,"Mohave, Arizona",0.0
665,"Monmouth, New Jersey",0.0
666,"Mono, California",0.0
667,"Monona, Iowa",0.0
668,"Monroe, New York",0.0
669,"Monroe, Pennsylvania",0.0
670,"Monroe, Wisconsin",0.0
671,"Montague, Texas",0.0
672,"Montgomery, Illinois",0.0
673,"Montgomery, Kansas",0.0
674,"Montgomery, North Carolina",0.0
675,"Montgomery, Pennsylvania",0.0
676,"Montgomery, Texas",0.0
677,"Montour, Pennsylvania",0.0
678,"Moore, North Carolina",0.0
679,"Morgan, Utah",0.0
680,"Morgan, West Virginia",0.0
681,"Morris, Kansas",0.0
682,"Morris, New Jersey",0.0
683,"Morris, Texas",0.0
684,"Mountrail, North Dakota",0.0
685,"Muscatine, Iowa",0.0
686,"Nacogdoches, Texas",0.0
687,"Nash, North Carolina",0.0
688,"Nassau, New York",0.0
689,"Natrona, Wyoming",0.0
690,"Navajo, Arizona",0.0
691,"Navarro, Texas",0.0
692,"Nemaha, Kansas",0.0
693,"Neosho, Kansas",0.0
694,"Ness, Kansas",0.0
695,"New hanover, North Carolina",0.0
696,"New haven, Connecticut",0.0
697,"Newberry, South Carolina",0.0
698,"Newport, Rhode Island",0.0
699,"Newton, Texas",0.0
700,"Nolan, Texas",0.0
701,"Northampton, North Carolina",0.0
702,"Northampton, Pennsylvania",0.0
703,"Northumberland, Pennsylvania",0.0
704,"Norton, Kansas",0.0
705,"Nueces, Texas",0.0
706,"O'brien, Iowa",0.0
707,"Ocean, New Jersey",0.0
708,"Oconee, South Carolina",0.0
709,"Oconto, Wisconsin",0.0
710,"Ogle, Illinois",0.0
711,"Okanogan, Washington",0.0
712,"Oklahoma, Oklahoma",0.0
713,"Oldham, Texas",0.0
714,"Oneida, Wisconsin",0.0
715,"Onslow, North Carolina",0.0
716,"Orange, North Carolina",0.0
717,"Orange, Texas",0.0
718,"Orangeburg, South Carolina",0.0
719,"Orleans, Louisiana",0.0
720,"Osage, Kansas",0.0
721,"Osborne, Kansas",0.0
722,"Osceola, Iowa",0.0
723,"Ottawa, Kansas",0.0
724,"Outagamie, Wisconsin",0.0
725,"Ozark, Missouri",0.0
726,"Ozaukee, Wisconsin",0.0
727,"Pacific, Washington",0.0
728,"Page, Iowa",0.0
729,"Palo alto, Iowa",0.0
730,"Palo pinto, Texas",0.0
731,"Pamlico, North Carolina",0.0
732,"Panola, Texas",0.0
733,"Park, Montana",0.0
734,"Park, Wyoming",0.0
735,"Parker, Texas",0.0
736,"Parmer, Texas",0.0
737,"Passaic, New Jersey",0.0
738,"Pawnee, Kansas",0.0
739,"Pecos, Texas",0.0
740,"Pend oreille, Washington",0.0
741,"Pender, North Carolina",0.0
742,"Penobscot, Maine",0.0
743,"Peoria, Illinois",0.0
744,"Pepin, Wisconsin",0.0
745,"Perkins, Nebraska",0.0
746,"Perquimans, North Carolina",0.0
747,"Perry county, Pennsylvania",0.0
748,"Perry, Illinois",0.0
749,"Perry, Pennsylvania",0.0
750,"Person, North Carolina",0.0
751,"Phillips, Kansas",0.0
752,"Phillips, Montana",0.0
753,"Piatt, Illinois",0.0
754,"Pickaway, Ohio",0.0
755,"Pickens, South Carolina",0.0
756,"Pierce, Washington",0.0
757,"Pierce, Wisconsin",0.0
758,"Pike, Alabama",0.0
759,"Pike, Illinois",0.0
760,"Pima, Arizona",0.0
761,"Pinal, Arizona",0.0
762,"Pitt, North Carolina",0.0
763,"Piute, Utah",0.0
764,"Platte, Wyoming",0.0
765,"Plymouth, Iowa",0.0
766,"Pocahontas, Iowa",0.0
767,"Polk, Iowa",0.0
768,"Polk, North Carolina",0.0
769,"Polk, Texas",0.0
770,"Polk, Wisconsin",0.0
771,"Pondera, Montana",0.0
772,"Pope, Illinois",0.0
773,"Portage, Wisconsin",0.0
774,"Pottawatomie, Kansas",0.0
775,"Pottawattamie, Iowa",0.0
776,"Potter, Pennsylvania",0.0
777,"Potter, Texas",0.0
778,"Pratt, Kansas",0.0
779,"Presidio, Texas",0.0
780,"Price, Wisconsin",0.0
781,"Prince edward, Virginia",0.0
782,"Prince george, Virginia",0.0
783,"Providence, Rhode Island",0.0
784,"Pulaski, Missouri",0.0
785,"Pushmataha, Oklahoma",0.0
786,"Putnam, Illinois",0.0
787,"Racine, Wisconsin",0.0
788,"Rains, Texas",0.0
789,"Randall, Texas",0.0
790,"Randolph, Alabama",0.0
791,"Randolph, Illinois",0.0
792,"Randolph, North Carolina",0.0
793,"Real, Texas",0.0
794,"Red river, Texas",0.0
795,"Reeves, Texas",0.0
796,"Reno, Kansas",0.0
797,"Rensselaer, New York",0.0
798,"Rice, Kansas",0.0
799,"Rich, Utah",0.0
800,"Richland, South Carolina",0.0
801,"Richland, Wisconsin",0.0
802,"Richmond, North Carolina",0.0
803,"Riley, Kansas",0.0
804,"Riverside, California",0.0
