,county,"1,2-Dibromo-3-Chloropropane"
470,"Comanche, Oklahoma",0.0
471,"Comanche, Texas",0.0
472,"Concho, Texas",0.0
473,"Concordia, Louisiana",0.0
474,"Conecuh, Alabama",0.0
475,"Contra costa, California",0.0001941747572815534
476,"Converse, Wyoming",0.0
477,"Conway, Arkansas",0.0
478,"Cook, Illinois",0.0
479,"Cook, Minnesota",0.0
480,"Cooke, Texas",0.0
481,"Cooper, Missouri",0.0
482,"Coos, New Hampshire",0.0
483,"Coos, Oregon",0.0
484,"Coosa, Alabama",0.0
485,"Corson, South Dakota",0.0
486,"Coryell, Texas",0.0
487,"Cottle, Texas",0.0
488,"Cotton, Oklahoma",0.0
489,"Cottonwood county, Minnesota",0.0
490,"Cottonwood, Minnesota",0.0
491,"Covington, Alabama",0.0
492,"Covington, Virginia",0.0
493,"Cowley, Kansas",0.0
494,"Cowlitz, Washington",0.0
495,"Craig, Oklahoma",0.0
496,"Craig, Virginia",0.0
497,"Craighead, Arkansas",0.0
498,"Crane, Texas",0.0
499,"Craven, North Carolina",0.0
500,"Crawford county, Pennsylvania",0.0
501,"Crawford, Arkansas",0.0
502,"Crawford, Illinois",0.006661111111111112
503,"Crawford, Indiana",0.0
504,"Crawford, Kansas",0.0
505,"Crawford, Missouri",0.0
506,"Crawford, Pennsylvania",0.0
507,"Crawford, Wisconsin",0.0
508,"Creek, Oklahoma",0.0
509,"Crenshaw, Alabama",0.0
510,"Crittenden, Arkansas",0.0
511,"Crittenden, Kentucky",0.0
512,"Crockett, Texas",0.0
513,"Crook, Oregon",0.0
514,"Crook, Wyoming",0.0
515,"Crosby, Texas",0.0
516,"Cross, Arkansas",0.0
517,"Crow wing, Minnesota",0.0
518,"Culberson, Texas",0.0
519,"Cullman, Alabama",0.0
520,"Culpeper, Virginia",0.0
521,"Cumberland county, Pennsylvania",0.0
522,"Cumberland, Illinois",0.0
523,"Cumberland, Kentucky",0.0
524,"Cumberland, Maine",0.0
525,"Cumberland, New Jersey",0.0
526,"Cumberland, North Carolina",0.0
527,"Cumberland, Pennsylvania",0.0
528,"Cumberland, Virginia",0.0
529,"Cuming, Nebraska",0.0
530,"Currituck, North Carolina",0.0
531,"Curry, New Mexico",0.0
532,"Curry, Oregon",0.0
533,"Custer, Idaho",0.0
534,"Custer, Nebraska",0.0
535,"Custer, Oklahoma",0.0
536,"Custer, South Dakota",0.0
537,"Dade, Florida",0.0
538,"Dade, Missouri",0.0
539,"Dakota, Minnesota",0.0
540,"Dakota, Nebraska",0.0
541,"Dale, Alabama",0.0
542,"Dallam, Texas",0.0
543,"Dallas, Alabama",0.0
544,"Dallas, Arkansas",0.0
545,"Dallas, Missouri",0.0
546,"Dallas, Texas",0.0
547,"Dane, Wisconsin",0.0
548,"Danville, Virginia",0.0
549,"Dare, North Carolina",0.0
550,"Darlington, South Carolina",0.0
551,"Dauphin county, Pennsylvania",0.0
552,"Dauphin, Pennsylvania",0.0
553,"Davidson, North Carolina",0.0
554,"Davie, North Carolina",0.0
555,"Daviess, Indiana",0.0
556,"Daviess, Kentucky",0.0
557,"Daviess, Missouri",0.0
558,"Dawes, Nebraska",0.0
559,"Dawson, Nebraska",0.0
560,"Dawson, Texas",0.0
561,"Day, South Dakota",0.0
562,"De baca, New Mexico",0.0
563,"De kalb, Indiana",0.0
564,"De kalb, Missouri",0.0
565,"De soto, Florida",0.0
566,"De soto, Louisiana",0.0
567,"De witt, Illinois",0.0
568,"Deaf smith, Texas",0.0
569,"Dearborn, Indiana",0.0
570,"Decatur, Indiana",0.0
571,"Decatur, Kansas",0.0
572,"Deer lodge, Montana",0.0
573,"Dekalb, Alabama",0.0
574,"Dekalb, Illinois",0.0
575,"Dekalb, Indiana",0.0
576,"Dekalb, Missouri",0.0
577,"Del norte county, California",0.0
578,"Del norte, California",0.0
579,"Delaware, Indiana",0.0
580,"Delaware, Oklahoma",0.0
581,"Delaware, Pennsylvania",0.0
582,"Delta, Texas",0.0
583,"Dent, Missouri",0.0
584,"Denton, Texas",0.0
585,"Deschutes, Oregon",0.0
586,"Desha, Arkansas",0.0
587,"Desoto, Florida",0.0
588,"Deuel, Nebraska",0.0
589,"Dewey, Oklahoma",0.0
590,"Dewey, South Dakota",0.0
591,"Dewitt, Texas",0.0
592,"Dickens, Texas",0.0
593,"Dickenson, Virginia",0.0
594,"Dickey, North Dakota",0.0
595,"Dickinson, Kansas",0.0
596,"Dillon, South Carolina",0.0
597,"Dimmit, Texas",0.0
598,"Dinwiddie, Virginia",0.0
599,"District of columbia, District of Columbia",0.0
600,"Dixie, Florida",0.0
601,"Dixon, Nebraska",0.0
602,"Doddridge, West Virginia",0.0
603,"Dodge, Minnesota",0.0
604,"Dodge, Nebraska",0.0
605,"Dodge, Wisconsin",0.0
606,"Dona ana, New Mexico",0.0034334763948497857
607,"Doniphan, Kansas",0.0
608,"Donley, Texas",0.0
609,"Door, Wisconsin",0.0
610,"Dorchester, Maryland",0.0
611,"Dorchester, South Carolina",0.0
612,"Douglas, Illinois",0.0
613,"Douglas, Kansas",0.0
614,"Douglas, Minnesota",0.0
615,"Douglas, Missouri",0.0
616,"Douglas, Nebraska",2.1186440677966103e-05
617,"Douglas, Nevada",0.0
618,"Douglas, Oregon",0.0
619,"Douglas, Washington",0.0
620,"Douglas, Wisconsin",0.0
621,"Drew, Arkansas",0.0
622,"Du page, Illinois",0.0
623,"Dubois, Indiana",0.0
624,"Dukes, Massachusetts",0.0
625,"Dundy, Nebraska",0.0
626,"Dunklin, Missouri",0.0
627,"Dunn, Wisconsin",0.0
628,"Dupage, Illinois",0.0
629,"Duplin, North Carolina",0.0
630,"Durham, North Carolina",0.0
631,"Duval county, Florida",0.0
632,"Duval, Florida",0.0001511111111111111
633,"Duval, Texas",0.0
634,"East baton rouge parish, Louisiana",0.0
635,"East baton rouge, Louisiana",0.0
636,"East carroll, Louisiana",0.0
637,"East feliciana, Louisiana",0.0
638,"Eastland, Texas",0.0
639,"Eau claire, Wisconsin",0.0
640,"Ector, Texas",0.0
641,"Eddy, New Mexico",6.896551724137931e-05
642,"Edgar, Illinois",0.0
643,"Edgecombe, North Carolina",0.0
644,"Edmonson, Kentucky",0.0
645,"Edwards, Illinois",0.0
646,"Edwards, Kansas",0.0
647,"Edwards, Texas",0.0
648,"Effingham, Illinois",0.0
649,"El dorado, California",0.0
650,"El paso, Texas",0.0
651,"Elk, Pennsylvania",0.0
652,"Elkhart, Indiana",0.0
653,"Elko, Nevada",0.0
654,"Elliott, Kentucky",0.0
655,"Ellis, Kansas",0.0
656,"Ellis, Oklahoma",0.0
657,"Ellis, Texas",0.0
658,"Ellsworth, Kansas",0.0
659,"Elmore, Alabama",0.0
660,"Elmore, Idaho",0.0
661,"Erath, Texas",0.0
662,"Erie county, Pennsylvania",0.0
663,"Erie, Pennsylvania",0.0
664,"Escambia, Alabama",0.0
665,"Escambia, Florida",0.0005574712643678161
666,"Esmeralda, Nevada",0.0
667,"Essex, Massachusetts",0.0
668,"Essex, New Jersey",0.0
669,"Essex, Vermont",0.0
670,"Essex, Virginia",0.0
671,"Estill, Kentucky",0.0
672,"Etowah, Alabama",0.0
673,"Eureka county, Nevada",0.0
674,"Eureka, Nevada",0.0
675,"Evangeline parish, Louisiana",0.0
676,"Evangeline, Louisiana",0.0
677,"Fairbanks north star, Alaska",0.0
678,"Fairfax, Virginia",0.0
679,"Fairfield, Connecticut",0.0
680,"Fairfield, South Carolina",0.0
681,"Fall river, South Dakota",0.0
682,"Falls, Texas",0.0
683,"Fannin, Texas",0.0
684,"Faribault, Minnesota",0.0
685,"Faulk, South Dakota",0.0
686,"Fauquier, Virginia",0.0
687,"Fayette, Alabama",0.0
688,"Fayette, Illinois",0.0023846153846153848
689,"Fayette, Indiana",0.0
690,"Fayette, Kentucky",0.0
691,"Fayette, Pennsylvania",0.0
692,"Fayette, Texas",0.0
693,"Fayette, West Virginia",0.0
694,"Ferry, Washington",0.0
695,"Fillmore, Minnesota",0.0
696,"Fillmore, Nebraska",0.0
697,"Finney, Kansas",0.0
698,"Fisher, Texas",0.0
699,"Flagler, Florida",0.0
700,"Flathead, Montana",0.0
701,"Fleming, Kentucky",0.0
702,"Florence, South Carolina",0.0
703,"Floyd, Indiana",0.0
704,"Floyd, Kentucky",0.0
705,"Floyd, Texas",0.0
706,"Floyd, Virginia",0.0
707,"Fluvanna, Virginia",0.0
708,"Foard, Texas",0.0
709,"Fond du lac, Wisconsin",0.0
710,"Ford, Illinois",0.0
711,"Ford, Kansas",0.0
712,"Forest, Pennsylvania",0.0
713,"Forest, Wisconsin",0.0
714,"Forsyth, North Carolina",0.0
715,"Fort bend county, Texas",0.0
716,"Fort bend, Texas",0.0
717,"Fountain, Indiana",0.0
718,"Franklin county, Missouri",0.0
719,"Franklin county, Pennsylvania",0.0
720,"Franklin, Alabama",0.0
721,"Franklin, Arkansas",0.0
722,"Franklin, Florida",0.0
723,"Franklin, Idaho",0.0
724,"Franklin, Illinois",0.0
725,"Franklin, Indiana",0.0
726,"Franklin, Kansas",0.0
727,"Franklin, Kentucky",0.0
728,"Franklin, Louisiana",0.0
729,"Franklin, Maine",0.0
730,"Franklin, Massachusetts",0.0
731,"Franklin, Missouri",0.0
732,"Franklin, Nebraska",0.0
733,"Franklin, North Carolina",0.0
734,"Franklin, Pennsylvania",0.0
735,"Franklin, Texas",0.0
736,"Franklin, Vermont",0.0
737,"Franklin, Virginia",0.0
738,"Franklin, Washington",0.0
739,"Frederick, Maryland",0.0002826086956521739
740,"Frederick, Virginia",0.0
741,"Freeborn, Minnesota",0.0
742,"Freestone, Texas",0.0
743,"Fremont, Idaho",0.0
744,"Fremont, Wyoming",0.0
745,"Fresno, California",0.046583279220779344
746,"Frio, Texas",0.0
747,"Frontier, Nebraska",0.0
748,"Fulton, Arkansas",0.0
749,"Fulton, Illinois",0.0
750,"Fulton, Indiana",0.0
751,"Fulton, Kentucky",0.0
752,"Fulton, Pennsylvania",0.0
753,"Furnas, Nebraska",0.0
754,"Gadsden, Florida",0.0
755,"Gage, Nebraska",0.0
756,"Gaines, Texas",0.0
757,"Galax, Virginia",0.0
758,"Gallatin, Illinois",0.0
759,"Gallatin, Kentucky",0.0
760,"Gallatin, Montana",0.0
761,"Galveston, Texas",0.0
762,"Garden, Nebraska",0.0
763,"Garfield, Nebraska",0.0
764,"Garfield, Oklahoma",0.0
765,"Garfield, Washington",0.0
766,"Garland, Arkansas",0.0
767,"Garrard, Kentucky",0.0
768,"Garrett, Maryland",0.0
769,"Garvin, Oklahoma",0.0
770,"Garza, Texas",0.0
771,"Gasconade, Missouri",0.0
772,"Gaston, North Carolina",0.0
773,"Gates, North Carolina",0.0
774,"Geary, Kansas",0.0
775,"Gem, Idaho",0.0
776,"Genesee, New York",0.0
777,"Geneva, Alabama",0.0
778,"Gentry, Missouri",0.0
779,"Georgetown, South Carolina",0.0
780,"Gibson, Indiana",0.0
781,"Gila, Arizona",0.0
782,"Gilchrist, Florida",0.0
783,"Giles, Tennessee",0.0
784,"Giles, Virginia",0.0
785,"Gillespie, Texas",0.0
786,"Gilliam, Oregon",0.0
787,"Gilmer, West Virginia",0.0
788,"Glacier, Montana",0.0
789,"Glades, Florida",0.0
790,"Glasscock, Texas",0.0
791,"Glenn, California",0.0
